"keys","tr","en","de","fr","es","it","pt_BR","ru","pl","zh_CN","ja"
"EVT_CUSTOMS_OPT_BRIBE_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_CUSTOMS_OPT_RUN","Bariyeri zorla geç","Force the barrier","","","","","","","","",""
"EVT_CUSTOMS_RUN_ESCAPE","Kervan bariyeri devirip uzaklaştı. Arkanızda bağrışmalar kaldı, ama peşinize düşen olmadı.","The caravan smashes through and rolls on. Shouts fade behind you; no one gives chase.","","","","","","","","",""
"EVT_CUSTOMS_RUN_CAUGHT","Bir sonraki köyde yakalandınız. Evraklara el konuldu ve ağır bir ceza kesildi.","You are caught at the next village. Papers are seized and a heavy fine imposed.","","","","","","","","",""
"EVT_AXLE_TITLE","Kırılan Aks","Broken Axle","","","","","","","","",""
"EVT_AXLE_TEXT","Çukura giren vagonun aksı çatladı. Tekerlek her dönüşte daha fazla yalpalıyor.","A wheel drops into a rut and the axle cracks. It wobbles worse with every turn.","","","","","","","","",""
"EVT_AXLE_OPT_REPAIR","Düzgün tamir ettir (60 GG, 1 gün)","Have it properly repaired (60 GG, 1 day)","","","","","","","","",""
"EVT_AXLE_OPT_REPAIR_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_AXLE_OPT_PUSH_ON","Böyle devam et","Push on as it is","","","","","","","","",""
"EVT_AXLE_OPT_DUMP","Yükü hafiflet","Lighten the load","","","","","","","","",""
"EVT_STORM_TITLE","Fırtına","Storm","","","","","","","","",""
"EVT_STORM_TEXT","Gökyüzü kararıyor, rüzgâr branda örtüleri koparacak gibi. Yolun ilerisi çamura gömülecek.","The sky darkens and the wind tears at the tarpaulins. The road ahead will turn to mud.","","","","","","","","",""
"EVT_STORM_OPT_SHELTER","Sığınak ara ve bekle","Find shelter and wait it out","","","","","","","","",""
"EVT_STORM_OPT_PRESS_ON","Fırtınaya rağmen ilerle","Press on through the storm","","","","","","","","",""
"EVT_STORM_PRESS_OK","Islanıp üşüdünüz ama kervan bir bütün halinde fırtınayı geçti.","Soaked and cold, the caravan comes through the storm intact.","","","","","","","","",""
"EVT_STORM_PRESS_BAD","Bir vagon çamura saplanıp devrildi; erzağın bir kısmı suya gitti.","A wagon bogs down and topples. Part of the provisions is ruined.","","","","","","","","",""
"EVT_STORM_PRESS_LOST","Sel suyu bir vagonu yatağından söküp götürdü; sabah geriye yalnızca izi kalmıştı.","The floodwater tears a wagon loose and carries it off. By morning only the tracks remain.","","","","","","","","",""
"EVT_SPOILED_TITLE","Bozulan Erzak","Spoiled Provisions","","","","","","","","",""
"EVT_SPOILED_TEXT","Sandıkların dibindeki erzak küflenmiş. Kokusu bütün kervana yayıldı.","The provisions at the bottom of the crates have gone moldy. The smell carries through the camp.","","","","","","","","",""
"EVT_SPOILED_OPT_SHARE","Kalanı herkese eşit paylaştır","Share what remains equally","","","","","","","","",""
"EVT_SPOILED_OPT_RATION","Tüccarların payını kes","Cut the merchants' rations","","","","","","","","",""
"EVT_STOWAWAY_TITLE","Kaçak Yolcu","Stowaway","","","","","","","","",""
"EVT_STOWAWAY_TEXT","Vagonlardan birinde saklanan genç bir kadın buldunuz. Peşinde birilerinin olduğunu söylüyor.","You find a young woman hiding in one of the wagons. She says someone is hunting her.","","","","","","","","",""
"EVT_STOWAWAY_OPT_SHELTER","Kervanda kalmasına izin ver","Let her stay with the caravan","","","","","","","","",""
"EVT_STOWAWAY_OPT_TURN_IN","İlk karakolda teslim et","Turn her in at the next post","","","","","","","","",""
"EVT_STOWAWAY_REPAY_TITLE","Bir Borcun Karşılığı","A Debt Repaid","","","","","","","","",""
"EVT_STOWAWAY_REPAY_TEXT","Yolda korumana aldığın kadın seni bulur. Ailesi varlıklı çıkmış; minnetlerini göstermek istiyorlar.","The woman you sheltered finds you again. Her family proved wealthy, and they wish to show their gratitude.","","","","","","","","",""
"EVT_STOWAWAY_REPAY_OPT_ACCEPT","Keseyi kabul et (200 GG)","Accept the purse (200 GG)","","","","","","","","",""
"EVT_STOWAWAY_REPAY_OPT_REFUSE","Parayı reddet","Refuse the money","","","","","","","","",""
"EVT_SICK_TITLE","Hasta Tüccar","Sick Merchant","","","","","","","","",""
"EVT_SICK_TEXT","Tüccarlardan biri ateşler içinde. Yol boyunca bu haliyle dayanamaz.","One of the merchants burns with fever. He will not last the road in this state.","","","","","","","","",""
"EVT_SICK_OPT_TREAT","Hekim çağır (90 GG, 1 gün)","Send for a physician (90 GG, 1 day)","","","","","","","","",""
"EVT_SICK_OPT_TREAT_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_SICK_OPT_LEAVE","Bir handa bırak","Leave him at an inn","","","","","","","","",""
"EVT_MUTINY_TITLE","Kervanda Huzursuzluk","Unrest in the Caravan","","","","","","","","",""
"EVT_MUTINY_TEXT","Tüccarlar ateş başında toplanmış, alçak sesle konuşuyorlar. Konuşma sen yaklaşınca kesiliyor.","The merchants gather by the fire, speaking low. The talk stops when you approach.","","","","","","","","",""
"EVT_MUTINY_OPT_PAY","Fazladan pay dağıt (100 GG)","Hand out extra shares (100 GG)","","","","","","","","",""
"EVT_MUTINY_OPT_PAY_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_MUTINY_OPT_HARSH","Otoriteni göster","Assert your authority","","","","","","","","",""
"EVT_MUTINY_HARSH_OBEY","Sesini yükselttin ve homurdanma kesildi. Şimdilik.","You raise your voice and the grumbling stops. For now.","","","","","","","","",""
"EVT_MUTINY_HARSH_DESERT","Sertliğin ters tepti. Sabaha iki tüccar ve yükleri ortadan kaybolmuştu.","Your harshness backfires. By morning two merchants and their goods are gone.","","","","","","","","",""
"EVT_ABANDONED_TITLE","Terk Edilmiş Vagon","Abandoned Wagon","","","","","","","","",""
"EVT_ABANDONED_TEXT","Yol kenarında devrilmiş bir vagon duruyor. Yükü hâlâ yerinde, sahibi ortalıkta yok.","An overturned wagon lies by the roadside. Its cargo is still there; its owner is not.","","","","","","","","",""
"EVT_ABANDONED_OPT_LOOT","Yükü al","Take the cargo","","","","","","","","",""
"EVT_ABANDONED_OPT_LEAVE","Dokunma, yoluna devam et","Leave it and move on","","","","","","","","",""
"EVT_WANDERER_TITLE","Yol Kenarındaki Yolcu","The Wanderer on the Road","","","","","","","","",""
"EVT_WANDERER_TEXT","Yol kenarında sırtında bir denk, elinde çentikli bir mızrakla bekleyen biri var. Bir sonraki şehre kadar kervanla gitmek istiyor; karşılığında yolun tehlikesini paylaşmaya razı.","Someone waits by the roadside, a bundle on their back and a notched spear in hand. They want passage to the next city, and offer to share the road's dangers in return.","","","","","","","","",""
"EVT_WANDERER_OPT_HIRE","Konuş, partine katmayı düşün","Talk to them about joining your party","","","","","","","","",""
"EVT_WANDERER_OPT_HIRE_LOCKED","Vagonlarında yer yok","No room left in your wagons","","","","","","","","",""
"EVT_WANDERER_OPT_FEED","Erzak ver, yoluna gönder","Give provisions and send them on","","","","","","","","",""
"EVT_WANDERER_OPT_IGNORE","Görmezden gel","Ride past","","","","","","","","",""
"EVT_TROUBLED_NIGHT_TITLE","Sıkıntılı Gece","A Troubled Night","","","","","","","","",""
"EVT_TROUBLED_NIGHT_TEXT","Ateş sönmeye yüz tutmuş, herkes huzursuz. Gölgeler her hışırtıda büyüyor.","The fire is dying and everyone is on edge. The shadows grow with every rustle.","","","","","","","","",""
"EVT_TROUBLED_NIGHT_OPT_WATCH","Nöbet tut, uyumaya kalkma","Keep watch, don't risk sleep","","","","","","","","",""
"EVT_TROUBLED_NIGHT_OPT_SLEEP","Uyumaya çalış","Try to sleep","","","","","","","","",""
"EVT_TROUBLED_NIGHT_SLEEP_GOOD","Kâbussuz, dinlendirici bir uyku. Sabah kervan tazelenmiş uyanıyor.","A dreamless, restful sleep. The caravan wakes refreshed.","","","","","","","","",""
"EVT_TROUBLED_NIGHT_SLEEP_BAD","Kâbuslar sabaha kadar sürdü. Biri terler içinde uyanıp bir daha gölgelere güvenmiyor.","The nightmares last until dawn. One of you wakes drenched in sweat, unable to trust the shadows again.","","","","","","","","",""
"EVT_BRAWL_TITLE","Kamp Kavgası","A Camp Brawl","","","","","","","","",""
"EVT_BRAWL_TEXT","Haftalardır biriken gerginlik ateşin yanında patlak veriyor. Yumruklar havada.","Weeks of built-up tension boil over by the fire. Fists are already flying.","","","","","","","","",""
"EVT_BRAWL_OPT_INTERVENE","Araya gir, ayır","Step in and pull them apart","","","","","","","","",""
"EVT_BRAWL_INTERVENE_OK","İkisini de geriye ittirip ayırdın. Kavga bitti, gerginlik biraz düştü.","You shove them both back and pull them apart. The fight's over, the tension eases a little.","","","","","","","","",""
"EVT_BRAWL_INTERVENE_HURT","Aranıza girerken bir yumruk sana isabet etti. Kavgayı bitirdin ama canın yandı, ortalık daha da gerildi.","A stray fist catches you as you wade in. You end the fight, but it costs you a bruise and everyone's nerves.","","","","","","","","",""
"EVT_BRAWL_OPT_IGNORE","Kendi hallerine bırak","Let them sort it out themselves","","","","","","","","",""
"EVT_BRAWL_IGNORE_FIZZLE","Birkaç yumruktan sonra ikisi de yoruldu, gerginlik biraz dağıldı.","After a few blows both tire out. The tension eases, a little.","","","","","","","","",""
"EVT_BRAWL_IGNORE_ESCALATE","Kavga büyüdü, bir vagonun malı dökülüp kırıldı, herkes tedirgin.","The fight spreads. Cargo spills and breaks off a wagon; everyone is on edge.","","","","","","","","",""
"EVT_CACHE_TITLE","Gömülü Stok","A Buried Cache","","","","","","","","",""
"EVT_CACHE_TEXT","Yol kenarında taze kazılmış toprak dikkatini çekiyor - biri bir şeyi acele saklamış, ya da bir şeyi acele almış.","Freshly turned earth by the roadside catches your eye - someone buried something in a hurry, or dug something up in one.","","","","","","","","",""
"EVT_CACHE_OPT_DIG","Kaz, bak neymiş","Dig it up and see","","","","","","","","",""
"EVT_CACHE_OPT_LEAVE","Dokunma, tuhaf bir his var","Leave it be, something feels off","","","","","","","","",""
"EVT_CACHE_DIG_RING","Toprağın altında işlenmiş bir yüzük çıkıyor.","Buried beneath the dirt, a worked ring.","","","","","","","","",""
"EVT_CACHE_DIG_AMULET","Bir bez parçasına sarılı, eski bir muska çıkıyor.","Wrapped in a scrap of cloth, an old amulet.","","","","","","","","",""
"EVT_CACHE_DIG_NOTHING","Yalnızca çürümüş erzak ve boşa geçen vakit.","Only rotted provisions and wasted time.","","","","","","","","",""
"EVT_TINKER_TITLE","Gezgin Demirci","The Traveling Tinker","","","","","","","","",""
"EVT_TINKER_TEXT","Sırtında takırdayan bir alet çantasıyla yalnız yürüyen bir demirci, kervanla birlikte yürümeyi ve mal satmayı teklif ediyor.","A tinker walks alone, a clattering toolbag on his back, and offers to walk alongside and sell his wares.","","","","","","","","",""
"EVT_TINKER_OPT_BUY","Bir silah satın al (120 GG)","Buy a weapon (120 GG)","","","","","","","","",""
"EVT_TINKER_OPT_BUY_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_TINKER_OPT_IGNORE","İlgilenmiyorsun","Not interested","","","","","","","","",""
"EVT_SCOUT_PASS_TITLE","Bilinmeyen Bir Kestirme","An Unmarked Shortcut","","","","","","","","",""
"EVT_SCOUT_PASS_TEXT","Ana yoldan ayrılan, haritada işaretli olmayan dar bir patika görünüyor.","A narrow path breaks off from the main road, unmarked on any map.","","","","","","","","",""
"EVT_SCOUT_OPT_SHORTCUT","İzci'nin bildiği kestirmeden git","Take the shortcut your Scout knows","","","","","","","","",""
"EVT_SCOUT_OPT_SHORTCUT_LOCKED","Kervanda bir İzci yok - kimse bu patikaya güvenmiyor","No Scout in the party - no one trusts this path","","","","","","","","",""
"EVT_SCOUT_OPT_MAIN_ROAD","Ana yolda kal","Stick to the main road","","","","","","","","",""
"EVT_VALLEY_DISPUTE_TITLE","Muhasebe Anlaşmazlığı","A Ledger Dispute","","","","","","","","",""
"EVT_VALLEY_DISPUTE_TEXT","Kervandaki tüccarlardan ikisi bir yük hesabı yüzünden birbirine girmiş; ikisi de senin lonca eğitiminden geçtiğini biliyor.","Two of the caravan's merchants are at each other's throats over a cargo tally; both know you were trained in the guild halls.","","","","","","","","",""
"EVT_VALLEY_DISPUTE_OPT_MEDIATE","Defterleri iste, hakemlik yap","Ask for the ledgers and mediate","","","","","","","","",""
"EVT_VALLEY_DISPUTE_MEDIATE_RIGHT","Rakamları tek tek karşılaştırıp haklı tarafı buldun. İkisi de kararına saygı duydu.","You cross-check every figure and find who's actually right. Both sides respect the verdict.","","","","","","","","",""
"EVT_VALLEY_DISPUTE_MEDIATE_WRONG","Defterler karmaşık çıktı, yanlış tarafa hak verdin. Kervanda bunun lafı çıkıyor.","The ledgers turn out to be a tangle, and you back the wrong side. Word of it spreads through the caravan.","","","","","","","","",""
"EVT_VALLEY_DISPUTE_OPT_IGNORE","Kendi aralarında halletsinler","Let them settle it themselves","","","","","","","","",""
"EVT_HIGHLAND_CHALLENGE_TITLE","Güç Sınavı","A Test of Strength","","","","","","","","",""
"EVT_HIGHLAND_CHALLENGE_TEXT","Karşı yönden gelen bir dağ kabilesi kervanından biri seni bileğini bükmeye çağırıyor - reddetmek kabilende utanç sayılır.","A traveler from a highland caravan coming the other way challenges you to a test of arms - refusing is shameful among your own people.","","","","","","","","",""
"EVT_HIGHLAND_CHALLENGE_OPT_ACCEPT","Meydan oku, kabul et","Accept the challenge","","","","","","","","",""
"EVT_HIGHLAND_CHALLENGE_WIN","Bilek yere değmedi. Kervanın seni alkışlıyor.","Your arm never touches the table. The caravan cheers.","","","","","","","","",""
"EVT_HIGHLAND_CHALLENGE_LOSE","Bu sefer sen yenildin ama iyi dövüştün, karşı taraf bunu takdir ediyor.","You lose this time, but you fought well, and the other side respects it.","","","","","","","","",""
"EVT_HIGHLAND_CHALLENGE_OPT_DECLINE","Reddet, vaktin yok","Decline, you have no time for this","","","","","","","","",""
"EVT_PORT_GOSSIP_TITLE","Rıhtım Dedikodusu","Dockside Gossip","","","","","","","","",""
"EVT_PORT_GOSSIP_TEXT","Yol üstündeki handa, limanlardan haber taşıyan bir tüccar kervanı senin gibi biriyle konuşmak istiyor.","At a wayside inn, a merchant carrying news from the ports wants to talk with someone like you.","","","","","","","","",""
"EVT_PORT_GOSSIP_OPT_LISTEN","Dinle, sonra bu haberi başkasına sat","Listen, then sell the news on","","","","","","","","",""
"EVT_PORT_GOSSIP_OPT_IGNORE","Vaktin yok, geç","No time, move on","","","","","","","","",""
"EVT_FISHER_CATCH_TITLE","Şanslı Ağ","A Lucky Catch","","","","","","","","",""
"EVT_FISHER_CATCH_TEXT","Yol bir nehri geçiyor; suyun sesini duyunca ellerin kendiliğinden bir ağ arıyor.","The road crosses a river; the sound of water and your hands are already looking for a net.","","","","","","","","",""
"EVT_FISHER_CATCH_OPT_GATHER","Ağı at, avlanmaya vakit ayır","Cast the net, take the time to fish","","","","","","","","",""
"EVT_FISHER_CATCH_OPT_SKIP","Vakit kaybetme, devam et","Don't waste time, keep moving","","","","","","","","",""
"EVT_SHRINE_TITLE","Yol Kenarı Türbesi","A Roadside Shrine","","","","","","","","",""
"EVT_SHRINE_TEXT","Yosun tutmuş taşlardan bir türbe, üzerinde geçmiş yolcuların bıraktığı küçük adaklar.","A moss-covered shrine, small offerings from past travelers still resting on its stones.","","","","","","","","",""
"EVT_SHRINE_OPT_PRAY","Dur, dua et","Stop and pray","","","","","","","","",""
"EVT_SHRINE_OPT_TAKE","Adakları al","Take the offerings","","","","","","","","",""
"EVT_SHRINE_TAKE_GOOD","Adaklar arasında birkaç sikke buluyorsun.","Among the offerings, a few coins.","","","","","","","","",""
"EVT_SHRINE_TAKE_BAD","Kervandan biri seni görüyor - bunun uğursuzluk getireceğine yemin ediyor, haber çabuk yayılıyor.","Someone in the caravan sees you - swears it'll bring bad luck, and the word spreads fast.","","","","","","","","",""
"EVT_PILGRIM_TITLE","Yolun Hacısı","The Road's Pilgrim","","","","","","","","",""
"EVT_PILGRIM_TEXT","Elinde bir asa, sırtında hafif bir denkle yürüyen biri var - doruğa mı, kıyıya mı gittiğini söylemiyor, yalnızca birkaç günlük eşlik istiyor.","Someone walks with a staff and a light bundle - they won't say whether they're bound for the peak or the shore, only that they'd welcome a few days' company.","","","","","","","","",""
"EVT_PILGRIM_OPT_ESCORT","Yanına al, birkaç gün eşlik et","Take them along, a few days' company","","","","","","","","",""
"EVT_PILGRIM_OPT_GUIDE","Yol tarif et, kendi hâline bırak","Point the way, leave them to it","","","","","","","","",""
"EVT_PILGRIM_GUIDE_GOOD","Tarifin doğru çıkıyor - hacı, doğru yöne, memnun ayrılıyor.","The directions hold true - the pilgrim leaves content, the right way ahead of them.","","","","","","","","",""
"EVT_PILGRIM_GUIDE_BAD","Tarifin şüpheli çıkıyor - hacı gülümsüyor ama gözlerinde kuşku var, sessizce ayrılıyor.","The directions sound doubtful - the pilgrim smiles but their eyes say otherwise, and they leave without a word.","","","","","","","","",""
"EVT_PILGRIM_OPT_IGNORE","Görmezden gel, yoluna devam et","Pay them no mind, keep going","","","","","","","","",""
"EVT_PILGRIM_BLESSING_TITLE","Hacının Vedası","The Pilgrim's Farewell","","","","","","","","",""
"EVT_PILGRIM_BLESSING_TEXT","Eşlik ettiğin hacı, doruğa ya da kıyıya vardığı günü sana yollamış - kısa bir kutsama, bir teşekkür.","The pilgrim you kept company has sent word of the day they reached the peak or the shore - a short blessing, a thanks.","","","","","","","","",""
"EVT_PILGRIM_BLESSING_OPT_ACCEPT","Kutsamayı kabul et","Accept the blessing","","","","","","","","",""
"EVT_WILD_TITLE","Yol Kesen Vahşi","A Wild Blockage","","","","","","","","",""
"EVT_WILD_TEXT","Yolun ortasında bir hayvan sürüsü duruyor - ne geçmeye niyetli, ne de uzaklaşmaya.","An animal or its pack blocks the road - neither moving on nor backing off.","","","","","","","","",""
"EVT_WILD_OPT_FIGHT","Kovala, gerekirse dövüş","Drive them off, fight if you must","","","","","","","","",""
"EVT_WILD_OPT_FEED","Biraz erzak bırak, sakince uzaklaş","Leave some provisions, back away calmly","","","","","","","","",""
"EVT_WILD_OPT_FLEE","Aceleyle etrafından dolaş","Hurry around them","","","","","","","","",""
"EVT_WILD_FLEE_OK","Sessizce ve çabucak sıyrıldınız, hayvan farkına bile varmadı.","You slip past quick and quiet - the animal barely notices.","","","","","","","","",""
"EVT_WILD_FLEE_BAD","Ayak sesleriniz hayvanı ürküttü, kısa bir süre peşinizden geldi.","Your footsteps spook it, and it trails you for a stretch before giving up.","","","","","","","","",""
"EVT_GUARD_PATROL_TITLE","Muhafız Devriyesi","A Guard Patrol","","","","","","","","",""
"EVT_GUARD_PATROL_TEXT","Kervanının adı şehirlerde iyi anılmıyor - bir devriye yolunu kesip evraklarını istiyor.","Your caravan's name isn't well spoken of in the cities - a patrol blocks the road and demands your papers.","","","","","","","","",""
"EVT_GUARD_PATROL_OPT_BRIBE","Rüşvet ver, sessizce geç (100 GG)","Bribe them, pass quietly (100 GG)","","","","","","","","",""
"EVT_GUARD_PATROL_OPT_BRIBE_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_GUARD_PATROL_OPT_RUN","Aralarından zorla geç","Force your way through","","","","","","","","",""
"EVT_GUARD_PATROL_RUN_ESCAPE","Şaşkınlıklarından yararlanıp sıyırıyorsun.","You catch them off guard and slip past.","","","","","","","","",""
"EVT_GUARD_PATROL_RUN_CAUGHT","Yakalanıyorsun - evrakların el konuluyor, adın şehirlerde daha da kötüye çıkıyor.","You're caught - your papers are seized, your name grows worse in the cities.","","","","","","","","",""
"EVT_GUARD_PATROL_OPT_RESIST","Direniş göster","Resist","","","","","","","","",""
"EVT_WANDERER_FEED_KIN","Yemeği paylaşınca ağzından kendi boyunun türküsü döküldü. Kervan uzun süre sonra ilk kez güldü.","As you share the meal a song from your own people slips out of him. The caravan laughs for the first time in a long while.","","","","","","","","",""
"EVT_WANDERER_FEED_THIEF","Kabını doldurdu, teşekkür etti, gitti. Ertesi sabah erzak çuvalının ağzı gevşek bulundu.","He filled his bowl, thanked you, and left. Next morning the provision sack was found loosely tied.","","","","","","","","",""
"EVT_WANDERER_FEED_PLAIN","Karnını doyurdu, yoluna gitti. Kadro iyi bir şey yaptığını hissetti.","He ate his fill and went on his way. The crew felt they had done right.","","","","","","","","",""
"EVT_WANDERER_IGNORE_GRUDGE","Arkanızdan bakarken yüzündeki ifade değişti. Bu yüzü bir daha göreceksiniz.","His face changed as he watched you go. You will see that face again.","","","","","","","","",""
"EVT_WANDERER_IGNORE_PLAIN","Omuz silkip yoluna döndü. Kadro sessizce yola devam etti.","He shrugged and turned back to the road. The crew moved on in silence.","","","","","","","","",""
"EVT_WANDERER_REVENGE_TITLE","Tanıdık Bir Yüz","A Familiar Face","","","","","","","","",""
"EVT_WANDERER_REVENGE_TEXT","Yolu kesenlerin başındaki adam tanıdık geliyor. Aç ve yalnızken geri çevirdiğiniz yolcu, artık yalnız değil.","The man leading the men blocking the road looks familiar. The traveller you turned away, hungry and alone, is no longer alone.","","","","","","","","",""
"EVT_WANDERER_REVENGE_OPT_FIGHT","Hesabı burada kapat","Settle it here","","","","","","","","",""
"EVT_WANDERER_REVENGE_OPT_PAY","İstediğini ver, geç git","Pay what he asks and move on","","","","","","","","",""
"EVT_SPOILED_OPT_CATCH_EARLY","Levazımcı çuvalları erkenden yokladı","The quartermaster checked the sacks early","","","","","","","","",""
"EVT_SPOILED_OPT_CATCH_EARLY_LOCKED","Levazımcın yok","You have no quartermaster","","","","","","","","",""
"EVT_SPOILED_OPT_RECOOK","Otacı bozulanı yahniye çevirsin","Let the herbalist turn the spoiled food into stew","","","","","","","","",""
"EVT_SPOILED_OPT_RECOOK_LOCKED","Otacın yok","You have no herbalist","","","","","","","","",""
"EVT_STOWAWAY_SHELTER_THIEF","Sıcak bir köşe ve bir tas çorba verdiniz. Sabaha kese hafiflemişti.","You gave him a warm corner and a bowl of soup. By morning the purse was lighter.","","","","","","","","",""
"EVT_STOWAWAY_SHELTER_GRATEFUL","Kimseye bir şey demeden vagona aldınız. Gözlerindeki bakış borcunu unutmayacağını söylüyor.","You took him into the wagon without a word to anyone. The look in his eyes says he will not forget the debt.","","","","","","","","",""
"EVT_STOWAWAY_TURN_IN_GRUDGE","Devriyeye teslim ettiniz. Götürülürken size döndü ve hiçbir şey söylemedi - söylemesine gerek yoktu.","You handed him to the patrol. As they led him away he turned to you and said nothing - he did not need to.","","","","","","","","",""
"EVT_STOWAWAY_TURN_IN_PLAIN","Devriyeye teslim ettiniz. Kese doldu ama kadro bir süre yüzünüze bakmadı.","You handed him to the patrol. The purse filled, but the crew would not meet your eye for a while.","","","","","","","","",""
"EVT_MUTINY_OPT_MANIPULATE","Söz ver, oyala","Promise them something and stall","","","","","","","","",""
"EVT_MUTINY_OPT_MANIPULATE_LOCKED","Bu kadroyu lafla yatıştıracak dilin yok","No one here has the tongue to talk them down","","","","","","","","",""
"EVT_ABANDONED_LOOT_CLEAN","İşe yarar ne varsa aldınız. Kimse bir şey demedi ama kimse de sevinmedi.","You took what was useful. Nobody objected, and nobody was glad.","","","","","","","","",""
"EVT_ABANDONED_LOOT_OMEN","Yükü indirirken kadrodan biri söylendi: terk edilmiş vagonun malı uğur getirmez. O gece kimse rahat uyumadı.","As you unloaded, one of the crew muttered that goods from an abandoned wagon bring no luck. Nobody slept easy that night.","","","","","","","","",""
"EVT_ABANDONED_LOOT_OBJECTION","Biri sesini yükseltti: bu mal birinin malı, sahibi ölmüş olsa bile. Yükü aldınız ama tartışma yolda uzun sürdü.","One of them raised his voice: these goods belong to someone, even if that someone is dead. You took them, but the argument lasted for miles.","","","","","","","","",""
"EVT_ABANDONED_OPT_SEARCH","Sahibini ara","Search for the owner","","","","","","","","",""
"EVT_CACHE_DIG_GRAVE","Kürek tahtaya değil kemiğe çarptı. Burası zula değil, mezar. Kadro toprağı aceleyle geri örttü.","The spade struck bone, not wood. This is no cache; it is a grave. The crew hurried the soil back over it.","","","","","","","","",""
"EVT_CACHE_OPT_READ_GROUND","Otacı toprağı okusun","Let the herbalist read the ground","","","","","","","","",""
"EVT_CACHE_OPT_READ_GROUND_LOCKED","Toprağı okuyacak otacın yok","You have no herbalist to read the ground","","","","","","","","",""
"EVT_TINKER_OPT_REPAIR","Hasarlı vagonu onart (60 GG)","Have the damaged wagon repaired (60 gp)","","","","","","","","",""
"EVT_TINKER_OPT_REPAIR_LOCKED","Onarılacak vagon ya da yeterli kese yok","No damaged wagon, or not enough coin","","","","","","","","",""
"EVT_TINKER_OPT_PARTS","Yedek parça al (35 GG)","Buy spare parts (35 gp)","","","","","","","","",""
"EVT_TINKER_OPT_PARTS_LOCKED","Kese yetmiyor","Not enough coin","","","","","","","","",""
"EVT_KIN_TITLE","Yolda Bir Oba","A Camp on the Road","","","","","","","","",""
